slope_bin,pixel_count,area_m2,area_km2,dem_mean,dem_std,dem_min,dem_max
0-1,1511592,1182115566.5136456,1182.1155665136457,11.281957968894513,11.617761647312644,-7.203494548797607,365.6900939941406
1-2,2044802,1599103643.4687636,1599.1036434687635,14.738607743096876,12.66714372603257,-51.02592086791992,400.53814697265625
2-3,2266341,1772354560.706925,1772.354560706925,17.635109713979794,14.381653944751596,-13.230000495910645,400.9381408691406
3-5,1402730,1096981836.7758536,1096.9818367758537,23.08986186875889,18.523594047931983,-12.188066482543945,386.3883056640625
5-8,554985,434016856.18974936,434.0168561897494,36.49137192277012,28.877246545330244,-51.022674560546875,434.8553161621094
8-15,389878,304897652.8330443,304.8976528330443,67.60080042052823,44.051247591829814,-36.44012451171875,431.8611755371094
15-25,217442,170046926.03153503,170.04692603153504,114.98620210633824,57.542991442044865,-51.86684799194336,430.85955810546875
>25,41210,32227600.103749778,32.22760010374978,161.20581645752094,68.4799320973455,-56.26115417480469,423.1379089355469
